City,Population,State,Latitude,Longitude,Cost of Living,min_distance,pop_norm,col_norm,dist_norm,cost_score,prox_score,demand_score,final_score
Ambarnath,254003,Maharashtra,18.9068356,75.6741579,119.8,0.0,0.0123559530285305,0.2758241758241757,0.0,0.7241758241758243,1.0,0.0123559530285305,0.4510131413494301
Warangal,811844,Telangana,17.8495919,79.1151663,104.8,108.00781979973844,0.0575587441159861,0.110989010989011,0.1867072638856708,0.889010989010989,0.8132927361143292,0.0575587441159861,0.4505693906944896
Pallavaram,215417,Tamil Nadu,10.9094334,78.3665347,119.3,0.0,0.009229264784209,0.2703296703296702,0.0,0.7296703296703297,1.0,0.009229264784209,0.4505486983261704
Jalandhar,862196,Punjab,30.9293211,75.5004841,108.7,97.4579834015409,0.0616388510583506,0.1538461538461539,0.1684703335226556,0.846153846153846,0.8315296664773444,0.0616388510583506,0.4495090947031478
Kochi,601574,Kerala,10.3528744,76.5120396,121.8,25.555024180807905,0.0405202136351514,0.2978021978021978,0.0441755851768647,0.7021978021978021,0.9558244148231352,0.0405202136351514,0.4474469917040767
Amaravati,103000,Andhra Pradesh,15.9240905,80.1863809,118.9,0.0,0.0001199268802569,0.2659340659340661,0.0,0.7340659340659339,1.0,0.0001199268802569,0.4468731502533152
Thrissur,315596,Kerala,10.3528744,76.5120396,116.9,25.555024180807905,0.0173469370391171,0.2439560439560439,0.0441755851768647,0.756043956043956,0.9558244148231352,0.0173469370391171,0.4466295841752903
Tiruvottiyur,248059,Tamil Nadu,10.9094334,78.3665347,121.9,0.0,0.0118743007472822,0.2989010989010989,0.0,0.701098901098901,1.0,0.0118743007472822,0.4461569305934213
Kottayam,172878,Kerala,10.3528744,76.5120396,114.8,25.555024180807905,0.0057822583252551,0.2208791208791207,0.0441755851768647,0.7791208791208792,0.9558244148231352,0.0057822583252551,0.445462629433744
Alappuzha,174164,Kerala,10.3528744,76.5120396,115.4,25.555024180807905,0.0058864650603973,0.2274725274725275,0.0441755851768647,0.7725274725274724,0.9558244148231352,0.0058864650603973,0.4441960514826337
Gandhinagar,206167,Gujarat,22.3850051,71.745261,124.3,0.0,0.0084797217826028,0.3252747252747252,0.0,0.6747252747252748,1.0,0.0084797217826028,0.4391849158363564
Shimla,169578,Himachal Pradesh,31.9292352,77.1828462,124.7,0.0,0.0055148537949524,0.3296703296703298,0.0,0.6703296703296702,1.0,0.0055148537949524,0.4368233609634102
Jammu,503690,Jammu and Kashmir,33.6649297,75.1629584,113.6,76.99677983402236,0.0325885090763174,0.2076923076923076,0.1331001599464979,0.7923076923076924,0.8668998400535021,0.0325885090763174,0.4348257450157478
Nizamabad,310467,Telangana,17.8495919,79.1151663,102.9,108.00781979973844,0.016931325573686,0.0901098901098902,0.1867072638856708,0.9098901098901098,0.8132927361143292,0.016931325573686,0.4344315055991637
Badlapur,174226,Maharashtra,18.9068356,75.6741579,125.9,0.0,0.0058914890243,0.3428571428571429,0.0,0.657142857142857,1.0,0.0058914890243,0.4343743159407214
Mira-Bhayandar,814655,Maharashtra,18.9068356,75.6741579,138.2,0.0,0.0577865241567985,0.4780219780219779,0.0,0.5219780219780221,1.0,0.0577865241567985,0.4332888664740036
Patiala,405164,Punjab,30.9293211,75.5004841,108.1,97.4579834015409,0.0246047821815882,0.1472527472527471,0.1684703335226556,0.8527472527472528,0.8315296664773444,0.0246047821815882,0.432310741583448
Khammam,305000,Telangana,17.8495919,79.1151663,103.8,108.00781979973844,0.0164883254018178,0.1,0.1867072638856708,0.8999999999999999,0.8132927361143292,0.0164883254018178,0.4322319835352076
Karimnagar,260899,Telangana,17.8495919,79.1151663,104.2,108.00781979973844,0.0129147474651873,0.1043956043956044,0.1867072638856708,0.8956043956043955,0.8132927361143292,0.0129147474651873,0.4295660736877715
